idCalificacion,Username,TiOriginal,Calificacion,Valor
1,mpackwood1f,The Crown Jewels,me gusto un poco,3
2,ggwillyam2k,Most Likely to Succeed,me gusta bastante,4
3,vhardwin3p,Look for the Light,me gusto un poco,3
4,mnend4d,A Man Without Honor,no me decido,2
5,jnorcliff58,Wednesday's Child Is Full of Woe,me gusto un poco,3
6,asaddington1n,Cursed,me gusta bastante,4
7,wblindmann49,Sherlock Holmes,me gusta bastante,4
8,dsarsons21,The One with the Ick Factor,no me decido,2
9,atenman5d,Beyond Justice,me gusta bastante,4
10,mhedau4h,Role Model,me encanta,5
11,ahughland19,Detox,me encanta,5
12,amuskett1a,Pandemia,me gusto un poco,3
13,tcowthard5,Most Likely to Succeed,no me decido,2
14,vdrippsz,Blackwater,no me decido,2
15,cjeenes17,Precious Cargo,no me decido,2
16,mcollingworth2n,The Man with the Umbrella,me gusto un poco,3
17,esaipy4o,Control,no me decido,2
18,mnend4d,Exposed,me gusta bastante,4
19,dchessman4t,The One with the Birth,no me gusto,1
20,lnadin13,Woe Is the Loneliest Number,me gusto un poco,3
21,ebazelleo,One Lucky Day,no me gusto,1
22,tcowthard5,The Manitou,no me decido,2
23,hswarbriggb,The Kingsroad,no me decido,2
24,smagsonc,Inquire Within,no me gusto,1
25,nmargram1p,The Karate Kid Part III,me gusto un poco,3
26,rrochford4e,School of Rock,no me decido,2
27,gelstow38,Beyond Justice,me gusto un poco,3
28,ffero3y,DNR,me encanta,5
29,fhaslock57,Friend or Woe,me gusto un poco,3
30,cbatthew3i,Shrek 2,no me decido,2
31,djayes2o,The One Where Nana Dies Twice,no me gusto,1
32,ebilson4l,A Golden Crown,me gusta bastante,4
33,vdrippsz,Tootsie,me gusto un poco,3
34,egoudie2b,Left Behind,me gusta bastante,4
35,wleamon4g,The Karate Kid Part II,me gusto un poco,3
36,dsarsons21,The Socratic Method,no me decido,2
37,dschukert24,Detox,me gusto un poco,3
38,dcristofalo14,Destination Unknown,me gusta bastante,4
39,kdonnellan4a,Mob Rules,me gusta bastante,4
40,cdumberrill3r,A Blank on the Map,no me decido,2
41,gklass4i,Negro y Azul,me gusta bastante,4
42,dculmera,Scream 2,me encanta,5
43,mbullion4p,Les Misérables,me encanta,5
44,pducarne2v,Analyze That,me gusto un poco,3
45,rsingers4y,The Ghost of Harrenhal,no me decido,2
46,ldesavery1y,A Fair World,no me decido,2
47,cgowar1e,The First Cut Is the Deepest,no me decido,2
48,dculmera,Deadhead,me gusto un poco,3
49,ecoventon2d,Jamie and Jessie Are Not Together,no me decido,2
50,mcroose44,The Squaw Man,me gusta bastante,4
51,mbullion4p,I See You,no me gusto,1
52,gdioniso3s,Cursed,me gusto un poco,3
53,emcfadzean5b,Quid Pro Woe,no me gusto,1
54,smagsonc,What Is Dead May Never Die,no me decido,2
55,egastickeg,Endure and Survive,no me decido,2
56,ilinkie3z,The One with the Candy Hearts,no me gusto,1
57,jleahair2l,No Más,me gusto un poco,3
58,sdavage1j,Wednesday's Child Is Full of Woe,no me decido,2
59,tbodicam2j,Half Measures,me gusto un poco,3
60,tmorican16,Más,me encanta,5
61,mhedau4h,Exposed,me gusto un poco,3
62,wleamon4g,Mandala,no me decido,2
63,ktousy3h,A Man Without Honor,no me gusto,1
64,sschuster0,The One with the Stoned Guy,me gusta bastante,4
65,bimpett55,Endure and Survive,me gusto un poco,3
66,gscheu4n,Bit by a Dead Bee,me gusta bastante,4
67,tschach1k,"Cripples, Bastards, and Broken Things",me gusto un poco,3
68,dsarsons21,Most Likely to Succeed,no me decido,2
69,nlebourn1b,I.F.T.,me gusto un poco,3
70,hjambrozek2r,Woe Is the Loneliest Number,me gusta bastante,4
71,fdurbann2a,The Old Gods and the New,me gusta bastante,4
72,dcristofalo14,The One with the Monkey,no me decido,2
73,mnend4d,Human Nature,me gusta bastante,4
74,lsaiens4q,Everybody Lies,me encanta,5
75,jleahair2l,Infected,me encanta,5
76,ffeathersby3g,The Trap,me gusto un poco,3
77,hlecky2p,The One with the Ick Factor,no me decido,2
78,rlowater51,The One with the Stoned Guy,no me decido,2
79,smagsonc,Fire and Blood,no me decido,2
80,lolliff5j,Baelor,me gusto un poco,3
81,egoudie2b,The Ghost of Harrenhal,no me decido,2
82,dbeddingham2w,The Man with the Umbrella,me gusta bastante,4
83,rsingers4y,Front Man,no me gusto,1
84,abauduin11,Smokey and the Bandit III,me gusto un poco,3
85,bgwinnel2e,Shrek 2,no me gusto,1
86,cdumberrill3r,Over,no me decido,2
87,asaddington1n,ABQ,no me decido,2
88,sbickerstaffx,The First Cut Is the Deepest,no me gusto,1
89,jbohlens3a,Love Hurts,me gusto un poco,3
90,mchastanetu,Geronimo: An American Legend,no me decido,2
91,hlecky2p,The Swan Princess,me gusto un poco,3
92,gelstow38,My Brother the Devil,me encanta,5
93,jphillput34,Detox,me gusto un poco,3
94,ftomasino4v,The One with George Stephanopoulos,no me decido,2
95,gmussolini5f,The Prince of Winterfell,no me gusto,1
96,rpiotrkowski27,The One with the Blackout,me gusta bastante,4
97,hlaurantf,Destination Unknown,me gusto un poco,3
98,bfasler4c,Scary Movie 5,me gusta bastante,4
99,bimpett55,Chicken Little,me gusto un poco,3
100,esaipy4o,"Long, Long Time",no me decido,2